"","directorio","secuencia_p","orden","p6020","p6040","esc","fex_c_2011"
"50489",5187881,1,1,1,26,5,405.512585309765
"50490",5187881,1,2,2,37,11,405.512585309765
"50491",5187881,1,3,1,18,11,405.512585309765
"50492",5187881,1,4,1,16,6,405.512585309765
"50493",5187881,1,5,2,12,5,405.512585309765
"50494",5187881,1,9,2,40,11,405.512585309765
"50495",5187881,1,10,1,19,9,405.512585309765
"50496",5187882,1,1,2,59,8,568.154215995232
"50497",5187882,1,2,1,36,11,568.154215995232
"50498",5187882,1,5,1,58,0,568.154215995232
"50499",5187892,1,1,2,42,11,218.501938949371
"50500",5187892,1,2,2,23,11,218.501938949371
"50501",5187892,1,3,1,16,9,218.501938949371
"50502",5187892,1,4,2,15,8,218.501938949371
"50503",5187893,1,1,2,45,17,1090.86946733414
"50504",5187894,1,1,1,28,13,263.82222656815
"50505",5187894,1,2,2,31,15,263.82222656815
"50506",5187894,1,5,2,66,5,263.82222656815
"50507",5187895,1,1,2,53,6,206.247010038252
"50508",5187895,1,2,2,35,11,206.247010038252
"50509",5187895,1,3,1,15,7,206.247010038252
"50510",5187895,1,5,2,34,11,206.247010038252
"50511",5187895,1,6,1,24,11,206.247010038252
"50512",5187895,1,9,2,81,1,206.247010038252
"50513",5187896,1,1,1,55,16,595.269356333978
"50514",5187896,1,2,2,53,16,595.269356333978
"50515",5187896,1,3,1,22,13,595.269356333978
"50516",5187898,1,1,1,39,16,1095.03440220985
"50517",5187898,1,2,2,34,16,1095.03440220985
"50518",5187899,1,1,2,58,5,223.349612696107
"50519",5187899,1,2,1,30,11,223.349612696107
"50520",5187899,1,3,2,32,7,223.349612696107
"50521",5187900,1,1,1,43,7,179.144460699685
"50522",5187900,1,2,2,43,10,179.144460699685
"50523",5187900,1,3,1,16,9,179.144460699685
"50524",5187900,1,4,2,13,7,179.144460699685
"50525",5187900,1,5,2,12,5,179.144460699685
"50526",5187900,1,7,1,24,11,179.144460699685
"50527",5187900,1,8,2,18,7,179.144460699685
"50528",5187900,1,9,1,21,8,179.144460699685
"50529",5187900,1,10,2,22,11,179.144460699685
"50530",5187901,1,1,1,35,6,251.222640044675
"50531",5187901,1,2,2,33,11,251.222640044675
"50532",5187901,1,3,1,16,8,251.222640044675
"50533",5187902,1,1,1,53,11,952.828011147448
"50534",5187902,1,2,2,23,11,952.828011147448
"50535",5187902,1,3,2,19,11,952.828011147448
"50536",5187903,1,1,2,82,11,529.681923147149
"50537",5187903,1,2,2,39,19,529.681923147149
"50538",5187904,1,1,2,75,9,497.944976951365
"50539",5187904,1,2,2,70,9,497.944976951365
"50540",5187905,1,1,1,65,23,614.806736040335
"50541",5187905,1,2,2,63,16,614.806736040335
"50542",5187905,1,3,1,29,16,614.806736040335
"50543",5187906,1,1,2,63,4,1318.84357214918
"50544",5187906,1,2,1,60,9,1318.84357214918
"50545",5187906,1,3,1,35,16,1318.84357214918
"50546",5187906,1,4,1,26,16,1318.84357214918
"50547",5187907,1,1,1,48,11,594.169721150029
"50548",5187907,1,2,2,32,9,594.169721150029
"50549",5187908,1,1,1,48,11,649.696484311161
"50550",5187908,1,2,2,46,11,649.696484311161
"50551",5187908,1,3,1,23,11,649.696484311161
"50552",5187908,1,4,1,27,11,649.696484311161
"50553",5187908,1,5,2,30,11,649.696484311161
"50554",5187908,1,8,2,26,14,649.696484311161
"50555",5187908,1,9,1,25,14,649.696484311161
"50556",5187909,1,1,2,71,0,517.81772491999
"50557",5187915,1,1,1,37,11,583.390507833437
"50558",5187915,1,2,2,34,11,583.390507833437
"50559",5187915,1,3,1,14,6,583.390507833437
