"","directorio","secuencia_p","orden","fecha","ocu","inac","deso"
"467",4804918,1,1,2019-01-01,1,0,0
"468",4804918,1,2,2019-01-01,0,1,0
"469",4804918,1,3,2019-01-01,0,1,0
"470",4804918,1,4,2019-01-01,0,1,0
"471",4804919,1,1,2019-01-01,1,0,0
"472",4804919,1,2,2019-01-01,0,0,1
"473",4804919,1,3,2019-01-01,0,0,1
"474",4804919,1,4,2019-01-01,0,1,0
"475",4804919,1,5,2019-01-01,0,1,0
"476",4804920,1,1,2019-01-01,1,0,0
"477",4804920,1,2,2019-01-01,0,1,0
"478",4804921,1,1,2019-01-01,1,0,0
"479",4804921,1,2,2019-01-01,1,0,0
"480",4804921,1,3,2019-01-01,0,0,1
"481",4804921,1,4,2019-01-01,1,0,0
"482",4804921,1,5,2019-01-01,1,0,0
"483",4804922,1,1,2019-01-01,1,0,0
"484",4804922,1,2,2019-01-01,1,0,0
"485",4804922,1,3,2019-01-01,0,0,1
"486",4804922,1,4,2019-01-01,0,1,0
"487",4804922,1,5,2019-01-01,0,0,1
"488",4804922,1,6,2019-01-01,1,0,0
"489",4804923,1,1,2019-01-01,1,0,0
"490",4804923,1,2,2019-01-01,1,0,0
"491",4804924,1,1,2019-01-01,1,0,0
"492",4804924,1,2,2019-01-01,0,1,0
"493",4804924,1,3,2019-01-01,0,1,0
"494",4804924,1,4,2019-01-01,0,1,0
"495",4804924,1,5,2019-01-01,0,1,0
"496",4804924,1,6,2019-01-01,0,1,0
"497",4804924,1,8,2019-01-01,0,1,0
"498",4804925,1,1,2019-01-01,1,0,0
"499",4804925,1,2,2019-01-01,1,0,0
"500",4804925,1,3,2019-01-01,1,0,0
"501",4804925,1,4,2019-01-01,1,0,0
"502",4804925,1,5,2019-01-01,1,0,0
"503",4804925,1,8,2019-01-01,1,0,0
"504",4804925,1,9,2019-01-01,0,1,0
"505",4804926,1,1,2019-01-01,1,0,0
"506",4804927,1,1,2019-01-01,1,0,0
"507",4804927,1,2,2019-01-01,0,1,0
"508",4804928,1,1,2019-01-01,1,0,0
"509",4804928,1,2,2019-01-01,0,1,0
"510",4804929,1,1,2019-01-01,1,0,0
"511",4804929,1,2,2019-01-01,1,0,0
"512",4804931,1,1,2019-01-01,1,0,0
"513",4804931,1,2,2019-01-01,1,0,0
"514",4804931,1,3,2019-01-01,0,1,0
"515",4804932,1,1,2019-01-01,1,0,0
"516",4804932,1,2,2019-01-01,0,1,0
"517",4804932,1,3,2019-01-01,1,0,0
"518",4804936,1,1,2019-01-01,0,1,0
"519",4804936,1,2,2019-01-01,1,0,0
"520",4804936,1,5,2019-01-01,1,0,0
"521",4804938,1,1,2019-01-01,1,0,0
"522",4804939,1,1,2019-01-01,1,0,0
"523",4804939,1,2,2019-01-01,0,1,0
"524",4804939,1,3,2019-01-01,0,1,0
"525",4804939,1,4,2019-01-01,0,1,0
"526",4804944,1,1,2019-01-01,1,0,0
"527",4804944,1,2,2019-01-01,0,1,0
"528",4804944,1,3,2019-01-01,0,1,0
"529",4804947,1,1,2019-01-01,1,0,0
"530",4808604,1,1,2019-01-01,0,0,1
"531",4808604,1,2,2019-01-01,1,0,0
"532",4808604,1,4,2019-01-01,1,0,0
"533",4808604,1,5,2019-01-01,1,0,0
"534",4808604,1,6,2019-01-01,0,1,0
"535",4808605,1,1,2019-01-01,0,1,0
"536",4808605,1,2,2019-01-01,0,1,0
"537",4808605,1,3,2019-01-01,0,1,0
"538",4808605,1,4,2019-01-01,0,1,0
"539",4808606,1,1,2019-01-01,1,0,0
"540",4808606,1,2,2019-01-01,0,1,0
"541",4808607,1,1,2019-01-01,1,0,0
"542",4808607,1,2,2019-01-01,1,0,0
"543",4808607,1,3,2019-01-01,0,1,0
"544",4808608,1,1,2019-01-01,1,0,0
"545",4808608,1,2,2019-01-01,1,0,0
"546",4808608,1,3,2019-01-01,0,1,0
"547",4808608,1,4,2019-01-01,0,1,0
"548",4808609,1,1,2019-01-01,1,0,0
"549",4808609,1,2,2019-01-01,1,0,0
"550",4808609,1,3,2019-01-01,0,1,0
"551",4808609,1,4,2019-01-01,1,0,0
"552",4808609,1,7,2019-01-01,0,0,1
"553",4808610,1,1,2019-01-01,1,0,0
"554",4808610,1,2,2019-01-01,0,1,0
"555",4808611,1,1,2019-01-01,0,1,0
"556",4808611,1,2,2019-01-01,0,1,0
"557",4808612,1,1,2019-01-01,1,0,0
"558",4808612,1,2,2019-01-01,0,1,0
"559",4808613,1,1,2019-01-01,1,0,0
"560",4808613,1,2,2019-01-01,0,1,0
"561",4808613,1,3,2019-01-01,0,1,0
"562",4808613,1,4,2019-01-01,0,1,0
"563",4808614,1,1,2019-01-01,1,0,0
"564",4808614,1,2,2019-01-01,1,0,0
"565",4808614,1,3,2019-01-01,1,0,0
"566",4809461,1,1,2019-01-01,1,0,0
"567",4809461,1,2,2019-01-01,0,0,1
"568",4809462,1,1,2019-01-01,1,0,0
"569",4809462,1,2,2019-01-01,0,1,0
